SSDSE-B-2023,Code,Prefecture,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A4101,A410101,A410102,A4103,A4200,A420001,A420002,A5101,A510101,A510102,A5102,A510201,A510202,A9101,A9201,B4101,B4102,B4103,B4106,B4109,C3301,C3302,C3801,C3802,C5401,C5403,E1101,E1301,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3701,E3702,E4101,E4401,E4501,E4601,E4602,E6101,E6102,E6201,E6202,E6301,E6302,E6501,E650110,E6502,E650210,E7101,E7102,E7201,E7202,F3101,F3102,F3103,F3104,F3105,G5105,G7101,G7102,H1800,H1801,H1802,H1803,H2600,H2601,H2602,H2603,H5609,H5610,H5614,I510120,I5102,I5103,J2503,J2505,J250502,J2506,J2526,L3221,L322101,L322102,L322103,L322104,L322105,L322106,L322107,L322108,L322109,L322110
2011,R01000,ñkäCìπ,5488000,2593000,2896000,5470000,2585000,2884000,650000,331000,318000,3455000,1685000,1770000,1382000,575000,807000,39292,20010,19282,1.25,56970,30295,26675,51998,30258,21740,54480,31800,22680,26518,11847,9.3,27.9,-6.7,146,1253.5,21130,5026401,3301,112812,18900,60000,557,5340,65213,1206,19731,269865,671,12534,144409,48845,47656,300,11287,140711,44846,18016,19,35,397,6526,6243,79970,3075,499,17331,2292,180,55,33306,4895,352134,1289538,576079,70199,70463,107425,23249540,1501660,31573,11775,15891,3750,2911803,1543924,424279,927322,2023704.0,1006,23.8,509,3377,2999,805,64525,996,64281,9921,270689,62996,15211,24787,8258,11604,10997,32204,10590,27054,66989
2010,R01000,ñkäCìπ,5506419,2603345,2903074,5482650,2593193,2889457,657312,335353,321959,3482169,1695591,1786578,1358068,567141,790927,40158,20518,19640,1.26,55404,29845,25559,48784,29311,19473,57421,33491,23930,28389,12596,9.8,29.1,-6.3,149,1325,20507,4776843,3392,114877,19600,63200,557,5287,64890,1248,19884,274624,677,12565,145609,48701,47649,309,11471,144222,46701,18872,19,36,409,6483,6524,80946,2853,467,17576,2365,185,56,33086,5002,368267,1331804,488408,68305,69536,110197,23283710,2055360,29922,11540,14465,3599,2773924,1510365,388610,850504,2060599.0,1020,22.8,514,3388,3020,793,62914,936,62625,9461,300961,64746,23750,23611,10335,12895,11584,44827,13100,32980,63133
2009,R01000,ñkäCìπ,5524000,2612000,2911000,5506000,2605000,2901000,663000,338000,325000,3510000,1706000,1804000,1334000,555000,779000,40165,20649,19516,1.19,53221,28871,24350,51598,31589,20009,63776,38073,25703,28271,12294,9.4,25.3,-5.6,149,1147,19249,4440968,3456,116163,20500,68300,560,5262,66181,1284,19786,278684,684,12587,149060,51359,50201,315,11629,145442,47246,19329,20,36,423,6392,6637,80917,3191,537,17495,2482,182,59,32689,4730,371450,1360753,432438,66661,68276,99940,24564640,1806740,27616,10342,14466,2492,2524567,1373059,283872,841395,2099594.0,1037,20.4,518,3378,3032,799,63166,682,62584,9252,288835,62866,18854,23040,8041,12801,13084,38017,11854,32113,68166
2020,R02000,ê¬êXåß,1237984,583402,654582,1224334,577003,647331,129112,65898,63214,676167,336887,339280,412943,169631,243312,6837,3493,3344,1.33,17905,8942,8963,16413,9873,6540,21145,11889,9256,4032,1915,11.6,29.5,-1.7,159,1417,7374,1041662,613,19765,16100,33700,87,662,4632,269,4536,55717,159,3001,30206,10067,9828,77,2953,32155,10798,5319,5,10,122,1389,1018,15400,494,11,3486,282,27,11,2215,184,48078,196848,185096,13690,14240,4580,2541590,73820,5651,3416,1230,934,579581,415369,90654,69671,457849.0,993,14,77,862,511,475,34236,0,30723,2594,251881,75325,18537,27837,10651,7340,11863,29385,3841,18924,48177
2019,R02000,ê¬êXåß,1253000,590000,663000,1247000,588000,659000,133000,68000,65000,699000,348000,351000,415000,170000,245000,7170,3682,3488,1.38,18424,9286,9138,16527,9920,6607,22874,12731,10143,4601,2009,11.4,29.8,-3.1,140,1093,6699,1094701,630,19987,16200,33700,88,654,4877,282,4677,56886,160,3030,31052,10757,10541,76,2993,33653,11314,5272,5,10,125,1382,1053,15344,475,10,3429,258,28,11,2227,219,50947,185486,211089,16102,17067,17318,3897630,337620,5922,3764,1372,687,626521,470898,68697,81834,469430.0,1003,14.3,77,877,520,480,35388,0,33675,3114,243609,66593,14278,28089,10404,7237,10276,37287,5095,20596,43755
2018,R02000,ê¬êXåß,1268000,597000,671000,1263000,595000,668000,137000,70000,67000,714000,355000,359000,412000,169000,243000,7803,3980,3823,1.43,17936,8925,9011,16744,10010,6734,23196,12764,10432,4737,2022,11.0,27.4,-5.1,172,1553,6994,1223042,680,20575,16300,33600,88,635,5078,287,4749,58394,162,3068,32137,11250,11030,77,3034,34902,11474,5298,5,10,130,1394,1115,15196,552,15,3349,254,28,11,2360,233,53679,191713,229705,17190,18331,16565,3697290,296240,6727,3861,2159,695,673249,485091,67622,119571,473715.0,1002,14.5,79,885,528,479,35300,0,33169,3033,251459,68455,17656,28448,9079,8361,11139,38005,4836,20251,45229
2017,R02000,ê¬êXåß,1282000,603000,679000,1277000,601000,676000,141000,72000,69000,731000,362000,368000,407000,166000,241000,8035,4104,3931,1.43,17575,8868,8707,17454,10449,7005,23529,12997,10532,5122,2092,10.7,28.6,-3.2,172,1388,6731,1143670,693,20461,16300,33600,94,695,5734,289,4753,59233,161,3148,33921,11830,11599,78,3061,35865,11717,5491,5,10,142,1356,1287,15055,651,24,3368,257,28,11,2373,286,58225,203753,227618,18233,19476,15396,3650910,242980,6454,3725,2105,561,653599,473907,53278,120944,479621.0,1002,15,78,881,534,467,34493,0,32943,3252,246650,69216,13980,27751,8785,7371,11031,30689,5877,21813,50136
2016,R02000,ê¬êXåß,1295000,609000,686000,1291000,607000,684000,145000,74000,71000,748000,370000,377000,401000,164000,238000,8626,4380,4246,1.48,17309,8777,8532,17061,10203,6858,23384,12901,10483,5135,2164,11.0,28.7,-3.0,170,1389.5,6704,1214427,704,20380,16400,33900,100,711,6013,293,4770,60644,165,3250,35505,12357,12136,80,3078,36620,12094,5385,5,10,147,1332,1429,14972,683,18,3432,271,29,11,2367,302,63536,218954,209505,19427,20773,14904,3571080,143590,6513,3670,2346,471,648888,467813,49208,128824,486063.0,1004,15.3,80,884,548,464,34434,0,33236,3416,236801,69202,9368,26793,9614,7771,9884,30923,5689,18255,49302
2015,R02000,ê¬êXåß,1308265,614694,693571,1302132,612113,690019,148208,75661,72547,757867,373796,384071,390940,158837,232103,8621,4400,4221,1.43,17148,8694,8454,17724,10596,7128,24284,13598,10686,5432,2267,11.5,27.9,-2.7,131,1003.5,6333,1147399,768,20684,16700,34500,107,672,6533,302,4854,62719,166,3262,36719,12452,12219,80,3093,37409,12242,5342,5,10,153,1300,1643,14736,757,25,3203,257,30,12,2495,291,70454,243951,188078,20839,22136,13298,3620530,109900,5826,3363,1824,621,595631,428742,64628,101106,503390.0,1026,15,81,889,550,465,33728,0,33174,3813,226214,61805,10343,27941,10105,6888,9631,28664,6719,17920,46196
2014,R02000,ê¬êXåß,1323000,622000,701000,1320000,620000,699000,155000,79000,76000,784000,388000,396000,383000,154000,229000,8853,4508,4345,1.42,17042,8856,8186,17792,10622,7170,24252,13594,10658,5481,2195,10.7,27.8,-4.4,158,1483.5,6086,1132021,823,21107,17100,35400,119,755,7946,310,4921,64876,168,3272,37540,12666,12431,82,3163,38266,12547,5517,5,10,151,1314,1731,14635,771,16,3283,248,31,12,2500,328,77139,267573,176531,22318,24002,13559,3782210,69670,5530,3353,1735,436,581210,438073,44096,98394,517384.0,1046,13.5,81,895,555,448,30765,0,33107,5167,243627,63139,9693,30606,9222,8087,12354,32782,4986,19572,53187
2013,R02000,ê¬êXåß,1337000,628000,708000,1334000,627000,706000,159000,81000,78000,804000,397000,407000,373000,150000,223000,9126,4725,4401,1.40,17112,8738,8374,18472,10989,7483,24528,13808,10720,5723,2335,10.5,29.3,-4.7,164,1664,6849,1218028,852,21535,17700,36700,120,823,8150,316,5072,67394,169,3310,38452,13256,12929,82,3188,38878,12594,5378,6,10,165,1300,1849,14658,805,26,3377,270,31,13,2504,427,83221,292194,170283,23237,24835,14969,3551720,57130,6454,4206,1940,285,702051,558134,29998,110925,534819.0,1069,13.7,85,896,556,459,31342,0,33427,5328,246445,62383,13864,29311,8995,8959,9992,32405,12268,19961,48308
2012,R02000,ê¬êXåß,1350000,635000,716000,1347000,634000,714000,164000,83000,80000,822000,406000,416000,364000,145000,219000,9168,4771,4397,1.36,17294,8953,8341,19305,11454,7851,24648,13871,10777,5846,2408,10.5,29.6,-5.1,173,1295.5,6008,1177329,890,22040,19200,38200,122,816,8602,323,5148,69759,170,3322,39374,13314,12997,85,3258,40037,13330,5518,6,10,177,1320,1910,14636,846,30,3341,276,34,14,2664,422,88269,309813,151798,23847,25368,18765,3544480,39390,5578,3363,1844,348,585937,443657,35199,104809,539977.0,1069,14.2,86,893,563,446,30406,0,32655,5142,251153,61839,13668,29040,10381,9811,10989,28739,8907,23000,54779
2011,R02000,ê¬êXåß,1363000,641000,722000,1360000,640000,720000,168000,86000,83000,840000,414000,426000,355000,141000,214000,9531,4772,4759,1.38,16419,8679,7740,20089,11757,8332,23345,13263,10082,5583,2377,10.6,28.4,-4.9,176,1570.5,5504,1158805,906,22094,20300,40700,129,834,8835,333,5286,72426,171,3362,40509,13817,13383,85,3334,40878,13253,5457,6,10,181,1305,1935,14848,773,31,3333,294,35,14,2628,581,94204,334875,122773,23525,25389,16435,3587900,27600,5085,3059,1696,325,534413,407752,34158,92147,528994.0,1038,13.6,86,903,560,447,30281,0,32577,5116,260743,64734,14803,28662,9103,9856,11112,30439,10641,22516,58878
2010,R02000,ê¬êXåß,1373339,646141,727198,1367057,643407,723650,171842,87585,84257,843587,414888,428699,352768,140636,212132,9711,4949,4762,1.38,16030,8552,7478,19963,11844,8119,24995,14183,10812,5924,2679,11.1,30.6,-4.2,167,1570,5484,1095327,922,22236,21600,43500,131,788,9228,347,5399,74754,174,3391,41203,13957,13559,86,3359,41639,13267,5555,6,10,183,1256,1820,14854,708,34,3220,326,37,16,2616,579,99098,351128,103253,22295,24111,18940,3540430,59100,4680,3121,1269,221,529048,431852,23059,69671,536226.0,1047,12.9,88,932,572,453,30591,5,32932,5140,250433,64016,14169,27266,9315,9257,11535,31313,8267,24357,50936
2009,R02000,ê¬êXåß,1383000,651000,732000,1380000,650000,730000,173000,88000,85000,862000,424000,439000,344000,136000,208000,9523,4873,4650,1.26,15387,8312,7075,20700,12472,8228,27299,15515,11784,6067,2768,10.6,26.0,-3.5,162,1459.5,5296,970441,940,22261,22900,47000,133,821,9721,354,5489,76894,173,3412,42567,14722,14312,88,3390,42078,13760,5873,6,10,178,1224,1678,14779,703,24,3341,348,38,16,2282,812,105078,395497,84068,20323,22300,16561,3470340,59170,5016,2995,1756,224,545738,416558,23842,101803,541203.0,1049,12.9,88,936,570,461,31441,28,33465,5158,260264,65269,16660,26466,9082,9625,10777,33471,11278,21796,55839
2020,R03000,ä‚éËåß,1210534,582952,627582,1194745,575610,619135,132447,67763,64684,658816,335037,323779,404359,170879,233480,6718,3415,3303,1.32,17204,8443,8761,15663,9180,6483,19530,10685,8845,3918,1679,11.4,30.4,-3.3,131,1462,6480,1076202,792,21972,24900,44800,85,630,5498,304,4759,56822,155,2868,30388,10027,9791,79,2921,31229,10345,4692,5,6,70,1376,751,11489,372,60,2571,352,34,7,4663,357,40881,165326,171687,13267,14009,4533,3625960,80680,5901,3476,1844,544,547938,405977,56270,84027,405527.0,908,17.5,77,877,566,390,31709,58,28895,3664,270902,74023,24850,27129,10443,7879,13034,40561,6573,20179,46232
2019,R03000,ä‚éËåß,1226000,590000,636000,1218000,587000,631000,137000,70000,67000,684000,350000,334000,406000,172000,234000,6974,3582,3392,1.35,17826,8816,9010,16555,9818,6737,21223,11429,9794,4489,1754,11.3,30.5,-4.9,107,1029.5,7455,1218348,811,22164,24800,45100,92,671,6351,312,4821,57949,162,2956,30973,10610,10392,80,2988,32580,10876,4910,5,6,84,1402,782,11362,392,64,2341,355,35,7,4813,368,45373,166513,206990,16570,17530,19305,5303880,325450,7862,3797,3124,922,689789,453514,91196,143029,420164.0,927,17.6,76,879,576,382,31491,175,30017,3734,295396,75776,14899,27385,10945,10431,13890,44216,10722,27779,59354
2018,R03000,ä‚éËåß,1240000,597000,643000,1234000,594000,639000,140000,72000,68000,697000,356000,341000,403000,170000,234000,7615,3853,3762,1.41,17390,8657,8733,16285,9491,6794,21285,11408,9877,4439,1843,11.0,29.4,-6.9,120,1322,8093,1658999,817,21661,24800,44900,97,707,6902,316,4858,59253,164,3010,31732,11069,10843,80,3010,33689,11172,4878,5,6,85,1395,879,11373,459,73,2408,375,36,7,5021,416,47324,168658,233200,18590,19706,17700,5183550,245590,8496,4165,3542,704,749949,501126,71321,172101,424967.0,930,18.2,78,882,583,379,30264,145,28639,3731,286710,75110,11459,25872,9274,10551,12318,48015,7923,25982,60205
2017,R03000,ä‚éËåß,1254000,603000,651000,1249000,602000,647000,144000,74000,70000,711000,363000,348000,400000,168000,232000,8175,4132,4043,1.47,17232,8658,8574,16658,9512,7146,21019,11393,9626,4775,1860,10.6,29.2,-4.7,131,1409.5,8070,1485889,826,21983,24800,45300,102,748,7387,326,4911,60141,165,3051,33023,11302,11123,80,3029,34446,11162,4975,5,6,89,1400,999,11319,500,77,2413,352,36,7,5127,412,48998,175221,236325,19552,20647,16615,5041850,182810,8024,4204,3233,540,736734,510899,54540,166926,426270.0,922,18.4,78,874,587,370,29056,178,28301,3971,276258,71755,15542,25384,9352,10428,13667,34538,10128,25039,60424
2016,R03000,ä‚éËåß,1268000,610000,658000,1262000,608000,654000,147000,75000,72000,726000,370000,356000,395000,165000,230000,8341,4296,4045,1.45,16959,8459,8500,17113,9842,7271,20983,11375,9608,4872,1877,11.2,30.5,-3.6,124,1318,8138,1380149,837,21789,24700,45900,106,732,7810,334,4979,61184,167,3111,34239,11839,11630,80,3067,35110,11558,5034,5,5,97,1371,1118,11278,518,91,2408,356,36,7,5143,425,52561,189671,225437,20999,22549,15156,5180760,125330,7974,4361,3029,476,745606,538905,47244,153201,430106.0,921,18.1,78,898,592,368,28888,194,28156,4019,288989,71061,14922,25048,10591,10948,14803,42315,7422,26790,65088
2015,R03000,ä‚éËåß,1279594,615584,664010,1272745,613118,659627,150992,77222,73770,734886,373365,361521,386573,160565,226008,8814,4473,4341,1.49,16502,8275,8227,17636,10158,7478,21758,11818,9940,5243,1956,11.6,29.3,-3.8,119,1094,8288,1507568,847,21641,24500,46200,113,763,8687,342,5082,63101,171,3187,35404,12081,11889,81,3086,35313,11390,5032,5,5,97,1355,1125,11466,501,56,2457,331,36,7,5266,390,56312,202179,218857,22222,23729,15066,4949860,99360,8422,4463,3520,412,806968,564956,41485,198140,440812.0,933,18.5,76,904,594,361,27961,128,27807,4036,286439,70729,18443,26961,9502,11143,12291,39066,9212,25138,63955
