SSDSE-C-2023,2020-2022年,City,LA03,LB00,LB01,LB011001,LB012001,LB012002,LB013001,LB013002,LB013003,LB013004,LB013005,LB013006,LB013007,LB014001,LB014002,LB014003,LB02,LB021101,LB021102,LB021103,LB021104,LB021105,LB021106,LB021107,LB021108,LB021109,LB021110,LB021111,LB021112,LB021113,LB021114,LB021115,LB021116,LB021201,LB021202,LB021203,LB021204,LB021205,LB022001,LB022002,LB022003,LB022004,LB022006,LB023001,LB023002,LB023003,LB023004,LB024001,LB024002,LB024003,LB024004,LB024005,LB03,LB031001,LB031002,LB031003,LB031004,LB031005,LB032001,LB032002,LB032003,LB032004,LB04,LB041001,LB042001,LB042002,LB042003,LB042004,LB042005,LB043001,LB05,LB051101,LB051102,LB051103,LB051104,LB051105,LB051106,LB051107,LB051108,LB051201,LB051202,LB051203,LB051204,LB051205,LB051206,LB051207,LB051208,LB051209,LB051210,LB051301,LB051302,LB051303,LB051304,LB051305,LB051306,LB051307,LB051308,LB051309,LB051310,LB051311,LB052001,LB052002,LB052003,LB052004,LB052005,LB052006,LB053001,LB053002,LB053003,LB053004,LB054001,LB054002,LB054003,LB054004,LB054005,LB054006,LB054007,LB054008,LB06,LB061001,LB061002,LB061004,LB061005,LB061006,LB061007,LB061008,LB061009,LB061010,LB061011,LB061012,LB061013,LB061014,LB061015,LB062001,LB07,LB071001,LB071002,LB072001,LB072002,LB072003,LB072004,LB072005,LB072006,LB072007,LB072008,LB072009,LB072010,LB072011,LB072012,LB072013,LB072014,LB072015,LB072016,LB08,LB080001,LB080002,LB080003,LB080004,LB080005,LB080006,LB080007,LB080008,LB080009,LB080010,LB080011,LB080012,LB080013,LB080014,LB080015,LB080016,LB09,LB091001,LB091002,LB091003,LB091004,LB091005,LB092001,LB092002,LB092003,LB092004,LB092005,LB092006,LB092007,LB092008,LB092009,LB092010,LB092011,LB092012,LB10,LB101001,LB101002,LB101003,LB101004,LB102001,LB102002,LB102003,LB103001,LB103002,LB103003,LB103004,LB103005,LB103006,LB103007,LB11,LB110001,LB110002,LB110003,LB110004,LB110005,LB110006,LB110007,LB110008,LB12,LB121101,LB121102,LB121103,LB121104,LB121105,LB121106,LB121107,LB121108,LB121109,LB121110,LB121201,LB121202,LB122001
R09201,栃木県,宇都宮市,2.90,974230,76722,19031,10635,19614,3735,2173,1657,4951,5879,1962,863,702,1822,3698,70647,7524,646,282,1548,590,4833,631,507,545,1886,1571,1279,2343,1602,4481,4079,687,478,608,1061,293,2425,2422,2165,552,6341,2036,1463,2645,1543,728,3456,820,3275,3303,85784,16482,32045,14911,1895,2171,5274,7693,2882,2431,49023,14338,975,15249,1278,7354,575,9254,110330,2926,1966,997,2930,2611,2488,1023,6379,1275,2692,726,2044,2527,1033,3895,743,598,3595,1548,1584,3600,2197,8463,2335,1992,1849,1050,2770,4407,404,191,2985,1695,730,2936,4983,2744,5467,1469,1683,1497,852,479,5916,1272,442,2346,42586,4754,5483,752,2758,2925,2748,1136,733,1184,780,4570,5120,2314,3879,3452,49049,4775,667,457,1827,2290,1008,789,894,721,1372,2747,1192,1285,4260,2591,1707,5180,15289,93030,1075,924,8305,869,8062,2339,2101,9088,7629,5109,5850,2136,6854,2257,10962,19468,145399,18980,13317,5001,7170,17773,2594,7573,2020,2165,13410,1150,3529,2879,1840,10789,2758,32452,66753,3758,811,1610,11431,7238,5127,367,6836,8245,4477,2865,3533,1792,8666,44571,5953,6469,10958,2770,4077,8170,4977,1196,140336,6663,9717,2646,15065,21692,4435,13295,5940,6619,31335,5825,5354,11752
R10201,群馬県,前橋市,2.86,972181,82055,23138,9484,22827,4737,2441,1381,4726,5004,1771,599,797,1497,3652,72087,7661,658,356,1232,624,5836,771,419,483,1838,1475,1087,2120,965,5594,4391,588,298,682,1269,335,2021,2820,1815,771,5741,1801,1812,2540,1355,828,3969,1032,3431,3468,77366,13016,29698,12899,1811,1885,5296,7209,2529,3023,49509,14965,287,16198,1421,7092,840,8706,109748,2659,1775,909,2639,2501,2067,825,6307,1179,2692,689,1570,2359,881,3428,661,551,3550,1794,1675,3958,1794,9503,2179,2292,1762,1231,2824,4584,480,200,3108,1871,720,2753,5222,2642,6021,803,1578,1276,1194,629,6383,1302,450,2277,46874,6286,4816,682,2820,2796,3228,661,796,1301,916,5254,5371,2254,5075,4618,46560,4372,548,459,1582,2140,1022,832,712,618,1370,3145,1535,1310,3969,2382,1553,5151,13859,90262,643,1474,8201,743,7904,2188,1816,8615,6357,3533,4730,2229,6779,1969,10517,22563,148660,23285,18190,4435,7245,17413,1978,6278,1766,2203,11743,1253,2251,2446,1592,9789,2501,34294,71643,4212,1061,1787,10008,7667,5156,408,8368,7042,8109,2531,4554,1659,9082,41943,6994,5422,10131,2365,3995,7312,4357,1367,135474,7317,7007,3746,11277,17384,4214,11701,7060,5807,34992,5806,6687,12479
R11100,埼玉県,さいたま市,3.07,1071671,82383,21150,10519,23277,3897,2100,1694,5111,5378,2138,822,715,1717,3866,73742,7564,906,344,1300,591,5739,841,401,826,2606,1554,1354,2357,1361,6378,4147,577,444,646,737,341,2233,2109,1920,890,6433,1634,1344,2635,1714,788,3602,851,3193,3380,98466,19665,36639,17725,3135,2444,5005,7658,3025,3170,52543,16105,1028,14587,1602,8608,769,9845,118512,2936,2225,1115,3667,2934,2645,1010,7370,1075,3053,762,1792,2941,970,4189,1018,728,3732,2403,1854,3961,2437,9718,3030,2075,1759,1084,2813,5810,381,301,3045,1445,593,3037,5504,2962,4940,938,1661,1715,877,631,5511,886,333,2648,42548,4323,4546,677,2512,1877,3175,829,1019,1491,1192,4670,4873,2606,4763,3994,47892,4761,565,398,1506,2182,848,752,708,747,1268,2542,1533,1337,4137,2438,1672,5204,15293,101101,705,571,8333,950,9352,2214,2231,10710,5994,4467,5944,2258,7551,2375,12710,24735,165128,21087,16038,6143,7554,21957,2806,7373,1691,2021,11723,1119,2225,3181,1815,10339,7249,40810,69566,3539,1170,1708,9976,7690,5512,428,8506,8479,4542,2821,4664,1500,9030,48636,5671,4937,11948,2160,5583,9596,7274,1467,171154,6361,7273,2885,12979,20145,3605,10423,6842,7447,62238,8183,9858,12916
R12100,千葉県,千葉市,2.84,1057500,82395,21175,11661,23472,3640,2226,1576,4746,5173,1957,858,600,1787,3524,80432,7609,1154,472,1623,791,6116,859,459,1215,3160,1733,1359,2689,958,6459,4522,830,414,840,1245,581,1951,2431,1866,975,7101,1912,1442,3424,1789,914,3629,1090,3276,3547,93747,20973,32668,16053,2478,2557,5277,7667,2892,3180,53896,17247,541,15601,1662,7904,632,10308,126613,2972,2427,1199,4066,3042,2748,906,8161,1258,3149,954,1896,2788,1033,4362,1163,998,4174,2989,1939,4050,2803,10905,2848,2095,1730,1019,2718,6009,482,414,3569,1958,702,3143,5260,3007,4895,951,1719,1689,1111,649,6510,1080,371,2702,46139,5055,3971,630,3072,3213,2807,1420,968,1427,1315,4700,5365,2957,5218,4021,49929,4759,590,423,1567,2489,944,842,705,678,1320,2712,1682,1302,4742,2920,1610,5179,15464,95294,999,634,8794,773,8872,2387,1892,10125,6630,4577,4987,1984,6733,1877,11107,22923,160899,21811,16645,5708,7717,20549,2959,7879,1910,2403,11992,1258,2557,3249,1639,12399,2697,37525,66859,4553,1107,1615,10118,7293,4715,399,7751,7935,4211,2382,4285,1680,8815,48267,6079,5505,11445,3149,6528,8581,5539,1440,153032,4151,6540,2564,13543,19581,4607,10464,5662,6776,52548,6251,9932,10414
R13100,東京都,東京都区部,2.90,1131522,81898,20664,11722,23149,3298,2273,1786,5058,4454,2027,997,690,1871,3908,82370,8123,1186,400,1571,630,5759,716,527,1248,3053,1807,1540,3109,1233,7470,5322,782,428,986,1389,479,2020,2362,2108,826,6742,2035,1360,2856,1766,842,3898,985,3087,3724,106706,26325,35972,18529,3347,2911,5802,7240,3186,3393,54849,16524,899,15138,1861,9367,925,10137,129296,3058,2444,1286,4204,3239,2890,1099,9569,1189,3218,893,2047,2724,963,4293,1134,967,4277,3210,1924,4167,2693,10539,2944,2132,1738,1151,3172,6873,463,394,3340,1680,769,3230,5447,2963,4611,909,1805,1865,1079,666,5944,1011,364,2721,46646,4405,4708,774,2983,1714,3550,1179,1325,1691,1013,4353,4888,2533,6458,5074,50815,5075,577,503,1673,2260,930,906,724,724,1276,2449,1675,1230,4440,3008,1421,5272,16675,96423,1049,561,8977,873,8893,2241,1933,10812,6307,4969,5207,2132,7302,2087,10765,22314,167877,22600,15591,5748,8437,20175,3531,7534,1974,2265,12142,1582,2179,3318,1503,8945,4510,45844,67542,4344,1167,1775,8231,8798,4705,365,7932,7421,4958,2750,4881,1129,9086,54662,5988,5603,13666,3251,9110,8871,6161,2012,192437,5764,7134,3050,15669,24023,6370,13765,7115,6355,69637,9711,15734,8111
R14100,神奈川県,横浜市,2.87,1070680,86334,23136,11782,22607,3638,2998,1747,5122,5275,2197,1133,678,1880,4141,81864,8005,1159,481,1353,598,5374,758,499,1045,2979,1606,1366,3096,1492,7202,5201,692,369,931,1330,600,2043,2166,2143,1083,6997,2201,1501,3231,2011,1074,3544,931,3222,3578,105787,23538,37485,18297,3467,2515,6590,7578,3287,3028,53281,16034,642,14833,1624,8454,1057,10637,131479,3409,2412,1302,4267,2964,3203,1056,9051,1293,3549,1025,1987,2972,1102,4747,1180,963,4161,3007,2228,4509,3004,10483,3121,2111,1670,1135,2964,6233,459,504,3461,1890,897,3454,5323,2787,4937,940,1799,1673,1112,773,5941,1279,378,2763,45025,4904,4640,821,2822,1708,3111,1149,815,1308,742,4024,4988,2737,5923,5332,52078,5242,734,456,1768,2265,1069,914,782,807,1482,2688,1621,1378,4780,2968,1510,5054,16561,95843,703,639,8927,896,7870,2237,2146,10614,6776,5017,5683,2207,7255,2016,10159,22699,151861,19574,13883,5145,7188,20184,2480,6911,2036,2201,11718,2229,1831,2900,1386,11303,2689,38205,65480,4669,1277,1678,9509,7237,4135,457,7745,7873,3551,2458,4857,1422,8613,52381,6002,7845,12014,2868,6971,10189,4885,1607,149267,4476,5327,2214,14502,20744,5960,12888,5480,5238,48188,8581,9079,6589
R15100,新潟県,新潟市,3.13,990869,86628,25355,10760,21955,2809,3174,1627,5014,7212,2562,626,566,1822,3148,75021,3639,705,341,1096,1404,6398,610,485,585,2534,2126,1095,2751,1352,5472,4015,694,358,663,1252,646,4930,2766,963,371,7223,1725,1473,2950,1346,586,4491,578,3963,3437,86221,11607,36309,14585,1485,2410,5024,8220,3096,3485,50547,15470,651,14860,1230,7367,525,10445,126203,3291,2398,1288,3379,2500,2999,1237,7899,1204,3608,1433,1841,3030,1180,3965,1568,983,3606,4824,1680,3881,2520,10149,2450,2068,2055,1720,3494,5327,527,626,3021,1575,783,3023,4921,3581,5039,773,1970,939,1165,498,5808,1470,283,2624,42360,5459,5047,664,1915,3289,2774,736,1253,1960,925,3993,5430,2405,3423,3088,49556,4617,632,572,1754,2908,1137,696,712,809,1612,2128,1217,1727,4159,2927,1970,5500,14479,90363,490,864,8653,591,7705,2149,1800,9098,6227,4445,6255,2046,7058,2189,10786,20008,142342,12985,14163,5025,6602,16534,1429,6995,2225,2402,14940,1010,1893,2549,1550,13414,5616,33009,61466,3050,881,1921,8474,7572,4591,409,6669,8146,5314,2484,3099,1730,7126,55274,8794,5665,12736,2762,4393,12864,6510,1551,124886,5564,12562,3092,13569,16037,2850,6557,4966,5089,28461,5249,7846,13044
R16201,富山県,富山市,3.06,1031549,86991,26113,10814,21980,3472,3105,1253,5019,5918,2279,559,669,2835,2975,88471,4795,1555,426,1120,840,6184,1076,324,870,6763,3076,1000,3533,1454,8453,5672,458,441,621,1080,610,3177,2351,1230,412,6937,2033,1470,4609,1465,559,7277,868,2451,3281,91485,18938,31982,14520,3824,2178,5481,8608,2912,3042,48018,15420,352,14652,1303,6716,687,8888,119643,3178,2486,1408,3089,2473,2983,1133,7414,1199,3568,1147,1677,2682,981,3824,1128,864,3673,1477,1843,3462,2371,9212,2246,2388,1893,1677,3463,3196,523,334,3105,1438,1663,2960,5469,4504,5797,856,1604,1350,1340,660,5276,1729,334,2566,44898,5609,4509,1252,2456,3881,3252,598,747,1571,953,3243,5493,2471,4613,4252,46967,4481,639,425,1776,2466,962,781,700,602,1451,1997,1313,1483,3771,2583,2408,5457,13672,95398,782,776,10621,734,8958,2450,1881,10514,6547,4571,5867,2184,7454,2381,11012,18666,161508,12802,16761,4244,6788,16999,2478,7009,2828,3360,15759,915,1984,2747,1257,14658,11117,39802,64720,2741,619,1773,9200,7665,6386,378,8738,7386,4165,2725,2417,1806,8723,52862,8130,6068,12894,2666,4138,12088,5639,1238,130587,5866,7218,1745,15483,23105,4132,10159,6222,4799,27955,5095,7621,11188
R17201,石川県,金沢市,3.19,1037925,87677,26087,11708,22226,3633,2260,1466,5050,5235,2081,741,714,2960,3516,76898,3192,1489,885,933,1576,4950,1170,365,868,5497,2261,1076,3388,3152,8338,4129,541,317,830,860,430,2244,1809,1202,340,5557,1730,1565,3432,1323,525,4344,1130,2498,2947,103972,24452,34903,17641,4565,2941,5049,8561,2700,3160,49298,16577,865,11685,1487,7912,825,9948,111969,2714,2373,1267,3350,2299,2573,1072,7112,1535,3223,637,1649,2714,913,3783,1647,649,3354,1793,1820,3582,2392,8691,2255,2100,1666,1404,3068,3288,367,251,3168,1343,984,3427,4755,4107,4362,880,1623,1081,1197,560,4948,1274,493,2222,40422,4234,4681,884,2127,2329,3897,904,906,1525,832,3078,4895,2218,4273,3639,48489,4640,615,433,1757,2032,1028,702,598,692,1445,2242,1310,1566,4264,2581,2136,5542,14905,105512,657,1137,12600,875,9746,2155,1872,11820,6203,4845,7505,2529,7986,2805,12828,19949,143654,13735,16355,4386,6731,16401,3526,5194,2329,2242,12723,770,1936,2994,1287,11558,6641,34848,62395,2860,568,1593,7196,7949,5217,566,7606,7047,6526,2886,3078,1584,7719,45353,6938,5490,11497,1793,3264,9325,5589,1458,162286,6441,8088,1645,20614,28476,4377,11657,8195,5505,32805,6782,9156,18544
R18201,福井県,福井市,2.95,939885,83124,26910,9114,21715,4115,2724,1256,4509,4552,2073,391,537,2720,2510,73160,2729,818,485,787,1454,4732,934,264,636,4168,2454,1252,2464,4006,6054,6125,508,317,421,758,345,1868,1953,1826,396,6468,1913,1910,3327,1773,759,2881,792,2228,3355,94811,24526,27914,16351,3326,2970,5552,7733,2407,4031,45735,15447,757,12073,1064,5438,621,10335,111208,2552,2636,1148,2920,2368,2370,1027,6263,1267,3304,1570,1572,2397,722,3569,715,558,3439,1392,1415,3685,2363,9010,1790,2054,1805,1397,2266,3241,547,273,2767,1909,1478,2949,5248,5626,4576,799,1802,1176,1102,433,5379,1923,516,1893,39085,4958,5081,636,1972,1772,2754,705,590,1424,873,2856,5386,2137,4384,3556,41524,3788,697,502,1539,2142,902,858,659,627,1454,2003,894,1281,3056,2415,2249,4653,11803,86805,1490,717,10457,717,6829,2115,1499,7348,7692,3832,5483,1961,6245,2220,10057,18143,150082,12299,15557,4369,5309,14192,1718,6020,3210,3924,17051,810,2019,3682,1681,9706,5262,43275,55572,2672,525,1283,6556,6855,5621,305,6976,6046,5596,2144,2737,1388,6868,38731,6783,4534,11509,2001,1971,7579,3075,1280,120048,5154,6523,1102,15049,21501,3110,6897,6843,4172,27790,4570,5706,11631
R19201,山梨県,甲府市,2.92,953406,78526,22365,8948,21230,4017,1812,1296,5003,5874,1965,688,546,1734,3048,75320,8885,745,168,993,452,4773,825,452,435,1648,2302,1131,2539,1205,3919,3980,871,541,563,1216,537,2992,2253,2484,1070,6239,1960,1896,2938,1563,773,5156,1019,2854,3943,86377,16006,32492,14238,2075,3309,4681,7804,2804,2969,46765,12702,1163,14999,1195,6231,741,9733,103844,2585,1913,1126,3009,2636,2453,896,6281,992,2727,849,1625,2304,971,3246,1159,611,3457,1749,1580,4217,1838,7409,1991,1932,1969,1128,2532,4525,496,221,2775,1565,578,2532,4333,2201,4716,726,1599,1101,1142,638,5883,1157,467,2002,41530,3201,5086,526,1957,839,6632,861,3113,1144,594,3391,4524,1740,4479,3442,44505,4297,612,414,1587,1904,991,588,715,634,1334,2436,1272,1338,3805,2311,1738,5278,13253,85497,608,670,8234,763,7322,2010,1894,9247,4636,3635,5924,2241,6385,2194,9983,19749,153202,19292,16101,5917,6739,19319,2382,7077,2280,3168,14377,1187,2118,3743,1973,7816,1739,37974,64325,2993,759,1405,9734,6680,4948,291,7608,7763,4579,3009,3482,1575,9501,43421,5146,6607,9434,3543,4946,8281,4054,1411,130093,5454,6985,2594,14120,21110,3445,10147,6376,6683,30216,6211,6447,10304
R20201,長野県,長野市,2.89,920753,74985,20489,8121,20055,4322,2369,1370,4614,5360,1952,808,963,1582,2980,73453,5164,575,279,907,995,5380,781,524,625,2234,1847,928,2329,1384,5033,5053,643,203,590,1108,233,3299,2571,1699,665,6502,1821,2141,3027,1466,721,4562,1048,3608,3507,77437,12641,30539,12634,1767,1929,4613,7582,3050,2682,47024,14546,285,13025,1234,7336,675,9923,106049,2751,1719,1039,2068,1987,2462,872,7206,1113,2380,764,1705,2460,945,3396,1082,858,3606,1540,1710,3493,1890,6907,2080,1711,2165,1757,3155,4204,619,377,2489,2000,805,3036,5101,2662,5701,1009,1771,1274,934,445,4844,1496,462,1998,42308,8748,3553,379,2840,825,4541,447,2384,1276,520,2845,4212,1584,4125,4029,48628,4776,589,459,1712,2591,1204,1055,612,663,1506,2412,1159,1433,4366,2772,1698,5233,14392,85575,656,536,8315,794,7582,2122,1620,7325,6172,3297,4754,1720,6712,1746,10690,21535,136347,15944,13629,4906,7880,18071,1963,4931,1680,1948,11612,1178,2078,2458,1121,10946,1578,34424,57104,3550,600,1377,6900,7737,5273,319,6389,6292,3737,2202,3015,1395,8319,42905,6770,6054,10531,2108,3287,8376,4440,1340,128936,5764,7637,1791,14049,14545,3181,8103,5493,4715,35347,5357,10267,12685
R21201,岐阜県,岐阜市,2.97,985198,79168,22443,10952,20004,3378,2099,1348,4193,5070,2097,678,675,2425,3807,68503,4241,639,381,993,540,5221,852,437,1051,3165,1786,1320,3238,1411,4850,4135,565,198,831,1042,396,1679,1522,1962,490,5645,1582,2000,3161,1877,928,2444,1438,3527,2957,92421,23401,29534,14871,3132,2263,5871,8007,2420,2924,50121,14713,833,14920,1268,6677,650,11060,100713,2430,2148,1053,3183,2120,2379,858,5616,1047,2681,907,1503,2174,928,3390,936,416,3053,1731,1471,3117,1938,7886,2041,2225,1548,1345,2289,3155,600,529,3039,1181,600,2945,5013,2792,4298,989,1484,1093,1083,431,4857,1447,423,2340,40474,4904,4147,486,2085,1386,2931,2450,932,1209,665,3265,5448,2420,4461,3682,47456,4286,655,451,1685,1842,1191,908,703,679,1386,2228,1331,1312,4482,2706,1948,5570,14093,95122,462,931,12557,600,8353,2350,1988,9630,6417,4468,7355,2709,7839,2457,10429,16577,132903,14359,13882,4651,5276,15933,3052,5777,2015,1964,11733,865,1902,1550,1448,10081,6897,31518,60521,2676,778,1645,9039,7044,5581,349,7799,5544,6107,2265,3467,1687,6539,37819,5157,4471,10721,1229,2616,8347,4144,1134,179978,7054,6779,2110,19047,39596,7403,16258,8855,6537,33331,13589,6898,12522
R22100,静岡県,静岡市,2.94,1001927,87173,28588,10017,22429,3079,2283,1413,5232,5295,1969,998,575,1723,3571,78914,10974,1119,255,1555,491,4938,918,363,547,2094,1746,1115,2669,1887,4432,4508,787,395,728,1058,430,2429,1441,3318,1299,5579,2208,1484,2975,2751,1164,3089,1603,3650,2914,94787,17469,35551,16665,2850,2888,5095,7951,3281,3035,47890,13310,660,14669,1523,6876,611,10240,116082,3576,2208,1369,4306,3293,2638,1021,6812,1296,3677,942,1970,2468,883,4081,1420,834,3440,2375,1787,3352,2237,8633,2367,2028,1921,1187,2601,4325,379,741,3148,1625,757,2517,5846,3035,4545,852,1966,1082,1099,652,4792,1135,310,2555,40267,4004,4804,399,2414,1147,2949,898,1180,1493,964,4719,5216,1892,4307,3881,47167,4354,606,396,1524,2406,1053,796,790,722,1305,2278,1311,1372,4471,3063,1789,5122,13809,90668,1026,806,10076,733,7154,2268,1863,10511,5894,4877,5866,2215,6281,2324,10191,18584,154358,21972,15653,4986,7196,19055,2916,7022,2066,2269,13334,1265,2134,2521,2078,10215,4203,35471,63448,8504,814,1146,7586,5870,3931,424,7423,5608,4544,2103,5716,1421,8358,39936,5534,5183,10498,2786,3081,7372,4095,1386,141237,8019,6260,2366,18210,22105,5751,12042,5051,6015,28718,4976,10745,10979
R23100,愛知県,名古屋市,2.96,986851,81896,21965,11622,21246,4264,2092,1465,4863,4931,2082,725,765,2071,3805,68797,5481,847,367,929,516,4842,969,349,935,2763,1621,1336,3308,1197,6968,4321,742,179,817,1036,351,1388,1572,1280,589,6004,1651,2004,2729,2055,855,2194,1121,2691,2787,96549,24176,30596,16794,3374,2735,5478,8008,2625,2762,49304,15539,795,14474,1471,6361,647,10017,107240,2830,2028,1389,3882,2508,2188,895,6558,1395,2967,1098,1620,2562,929,3723,1025,645,3272,1980,1635,3437,2464,8610,2384,1935,1570,1274,2462,4448,428,439,3267,1340,527,2805,5055,2562,3670,782,1654,1188,999,353,4726,1057,368,2305,41173,4589,4362,766,1795,1197,3030,966,834,2027,782,3402,5588,2513,5616,3705,45066,4581,770,389,1562,1734,971,800,768,691,1396,1837,1440,1206,3648,2492,1717,5290,13774,91978,567,1349,9909,828,7777,2170,1889,9489,5955,3991,5380,2096,6617,2086,10672,21203,131400,16343,15286,4685,5531,16649,3247,5186,2046,1529,9892,1031,1877,1683,1761,8270,2518,33866,58382,3720,816,1430,7232,7652,5317,395,7070,6033,4893,2333,3117,1126,7247,37281,4156,5230,8669,1611,3072,8866,4515,1162,177784,6542,5936,2384,15340,28983,5158,12962,7903,6070,59051,10512,6633,10310
R24201,三重県,津市,2.93,928093,74978,18032,10146,21954,3736,2121,1397,4597,4471,2089,586,746,1757,3346,74965,5983,1061,556,1537,456,4911,844,628,967,3805,1689,1279,3829,1748,6368,4431,727,163,869,1019,444,1949,1464,1727,644,6664,1953,2023,2927,2008,1066,2160,1607,2810,2649,102777,32495,29167,16813,3657,2681,4277,8057,2577,3054,49333,16352,917,14402,1139,5715,650,10158,98504,2630,1683,1165,3561,2142,2239,866,5789,1188,2308,661,1397,2408,1010,3263,881,393,2966,1454,1582,2393,1998,7906,2013,1886,1654,1306,2164,3489,366,363,3122,1367,629,3014,4781,3118,4024,958,1529,1269,1002,382,4322,1166,496,2198,39808,4488,4958,426,1451,2735,2862,1238,661,1163,1108,3790,5575,1948,3369,4035,45710,4289,626,413,1979,2073,1164,814,762,643,1389,1998,1149,1231,3750,2625,1864,5098,13845,91436,477,824,10824,1100,7903,1867,1710,9364,6933,3633,5151,2226,7129,2055,9337,20903,126844,15778,14490,3986,4629,15503,2908,4510,2232,1546,9719,869,1844,1216,1318,8353,3361,34583,56422,3358,683,1572,7935,6162,4306,336,7165,6229,4561,2495,2745,1083,7792,35699,4911,5244,8595,1854,2706,6458,4651,1281,131617,3818,4657,1336,12953,20900,3817,6001,5562,5183,47528,5739,4844,9281
R25201,滋賀県,大津市,2.99,1036233,86214,22595,11686,25294,4107,2151,1343,4420,4992,2204,766,856,1807,3995,78676,3973,999,443,1401,1429,5280,958,500,1669,3675,1800,1480,3301,1990,8937,4990,474,249,715,894,263,2092,2297,1924,535,7786,2172,2000,2444,1247,1062,2553,1546,2515,3081,116076,36702,32356,20360,4145,2902,5831,8324,2589,2868,52237,15967,894,14285,1494,7435,694,11468,120541,2813,2620,1529,4023,2805,2551,968,7497,1619,3209,859,1780,2590,1009,4241,1192,635,3919,2030,1793,3303,2524,9667,2605,2229,1970,1378,2819,5150,456,315,3579,1283,1170,3137,5291,3832,4532,1026,1722,1573,919,569,5651,1481,448,2227,41290,5293,4226,585,2529,1567,3066,1029,852,1425,783,3520,5744,2305,4404,3961,49415,4717,744,538,1836,2163,1071,943,867,699,1432,2398,1548,1316,3807,2842,1767,5498,15230,98482,578,532,10817,779,8431,1899,1857,11439,5560,4796,5574,2168,7757,2346,10137,23812,139843,13172,14286,4218,5788,16565,3739,4943,2674,1970,10922,887,2548,1535,1473,9107,7999,38016,57153,3099,1128,1640,5971,8920,4731,405,7735,6084,3423,2283,3262,1203,7269,43526,5206,4560,13338,1446,3467,9890,4420,1198,152779,5317,5102,1818,13586,18539,4720,9457,5427,6060,54578,7708,7704,12764
R26100,京都府,京都市,2.95,1029644,88079,23483,12693,26706,4227,1929,1427,4441,3990,2236,568,693,2189,3500,78492,3861,1073,457,1511,1567,5482,1093,465,1941,3834,2228,1469,3334,1839,8482,4139,486,362,947,1149,320,1741,1980,2182,594,7370,2195,1885,2570,1184,769,2859,1404,2722,2999,118088,39377,32010,20995,4020,3116,5457,7394,2680,3039,53553,18727,829,13091,1615,7334,839,11118,122770,3117,2485,1738,4077,2681,2554,1034,7173,1557,3383,913,2001,2751,1017,4644,1137,1015,4012,2550,1792,3392,2830,9434,3003,2269,2012,1170,2558,4900,395,356,2955,1402,1014,3345,5366,4084,3777,1194,1765,1513,1002,468,7018,1358,539,2023,42612,5035,4535,688,3099,1135,2830,1151,1065,1671,607,3714,6133,2704,4492,3754,48241,4698,707,449,1808,2125,998,829,874,696,1383,2066,1403,1285,3803,3124,1721,5821,14452,93740,646,588,10534,1037,8031,2118,1740,9988,6010,4211,4377,2251,6732,1889,9834,23753,140424,13218,15183,4110,5738,16466,4445,5358,2750,2173,11152,908,2779,1595,1694,9529,5286,38038,56609,3451,1064,1831,4962,8593,4661,350,8330,6252,3026,2097,3607,1318,7066,43751,6566,4984,12654,2366,3738,7667,4314,1460,143286,3921,4071,1733,12771,16875,4973,8911,6042,5240,57368,7549,5189,8643
R27100,大阪府,大阪市,2.88,988624,83034,23418,11116,23280,3857,1518,1122,3919,5982,2444,571,646,1685,3476,79271,4382,914,332,1522,1356,4818,769,353,1906,3780,2387,1821,4079,2596,9081,4162,535,250,881,1229,418,2281,1758,1579,305,7232,2769,1963,2799,1199,725,2537,1056,2383,3116,112099,35113,31755,18831,4192,4614,4894,7326,2320,3052,48197,15109,1711,12272,1270,6008,656,11172,112631,2773,2234,1774,3903,2527,2198,1087,7272,1323,3156,774,1821,2316,914,4198,1304,872,3340,1974,1470,3182,2360,8526,2576,2072,1736,1209,2346,5269,468,302,2671,1368,1017,2596,4953,3366,2823,1159,1886,1586,1147,666,6118,1382,414,2200,38605,4063,3474,543,2289,1320,3090,1198,1181,1471,706,3660,5617,2062,4796,3135,45910,4037,802,380,1541,1703,936,638,892,633,1445,2057,1266,1298,3862,2585,1454,6190,14190,86887,424,533,8571,879,6792,1941,1546,10562,5678,3558,5307,2196,6477,2276,10464,19683,145872,14444,16434,4713,5681,19026,3375,6424,2382,2165,11980,1023,2239,2037,1549,8944,2569,40888,58035,2376,684,1744,7066,6837,4816,337,6948,6900,4707,3369,3705,1437,7110,48021,5295,5069,12610,1608,2775,13603,5391,1670,130064,4135,4052,1888,13891,21492,5096,7166,5998,5598,44492,6666,7384,2205
