SSDSE-F-2023,1991-2020îN,,,CN100,CN110,CN120,CN131,CN132,CN141,CN142,CN143,CN144,CN151,CN152,CN200,CN210,CN220,CN230,CN300,CN311,CN312,CN313,CN400,CN410,CN420,CN500,CN511,CN512,CN513,CN514,CN515,CN600,CN610,CN620,CN631,CN632,CN633,CN640,CN651,CN652,CN653,CN654,CN900,CN910,CN920
R02201,ê¬êXåß,ê¬êXés,îN,10.7,14.9,7.1,50.8,14.5,18.7,65.8,14.7,0.4,102.5,0.6,1012.9,1013.4,75,11.1,3.7,64.3,2.7,0.1,1589.2,146.8,47.9,1350.7,162.4,42.2,6.1,1.6,0.3,119.5,567,32,40.8,22.8,5.2,101,104.8,96.7,83.2,50.5,40.82,140.77,2.8
R03201,ä‚éËåß,ê∑â™és,01åé,-1.6,2.0,-5.2,22.4,0.0,6.4,0.0,0.0,0.0,29.8,0.0,996.0,1015.5,73,4.0,2.7,0.8,0.0,0.0,115.6,15.1,3.5,49.4,9.5,1.2,0.1,0.0,0.0,27.3,63,17,4.6,1.8,0.3,27,22.6,17.6,7.9,0.4,39.70,141.17,155.2
R03201,ä‚éËåß,ê∑â™és,02åé,-0.9,3.2,-4.8,18.4,0.0,3.4,0.0,0.0,0.0,26.8,0.0,996.4,1016.0,71,4.1,2.9,1.2,0.0,0.0,124.8,14.8,2.7,48.0,8.6,1.4,0.1,0.0,0.0,23.3,55,17,3.9,1.5,0.4,32,21.8,18.1,11.4,0.5,39.70,141.17,155.2
R03201,ä‚éËåß,ê∑â™és,03åé,2.6,7.5,-1.8,5.9,0.0,0.5,0.0,0.0,0.0,23.6,0.0,996.2,1015.5,67,5.0,3.3,3.0,0.0,0.0,157.8,17.2,3.5,82.1,10.8,2.8,0.3,0.0,0.0,20.1,39,14,2.5,1.2,0.3,21,8.0,5.1,2.6,0.0,39.70,141.17,155.2
R03201,ä‚éËåß,ê∑â™és,04åé,8.7,14.4,3.2,0.0,0.0,0.0,0.7,0.0,0.0,5.8,0.0,995.2,1014.1,65,7.2,3.4,3.5,0.1,0.0,171.4,16.2,4.0,85.4,10.6,3.0,0.4,0.0,0.0,6.9,3,3,0.2,0.1,0.0,3,0.3,0.1,0.0,0.0,39.70,141.17,155.2
R03201,ä‚éËåß,ê∑â™és,05åé,14.5,20.3,9.1,0.0,0.0,0.0,4.6,0.3,0.0,0.0,0.0,993.5,1011.9,68,11.1,3.3,2.0,0.0,0.0,188.0,16.2,4.2,106.5,10.5,3.3,0.6,0.2,0.0,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.70,141.17,155.2
R03201,ä‚éËåß,ê∑â™és,06åé,18.8,24.1,14.2,0.0,0.0,0.0,12.8,1.3,0.0,0.0,0.0,991.3,1009.3,74,15.9,3.1,0.5,0.0,0.0,161.3,13.5,4.5,109.4,9.2,3.7,0.8,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.70,141.17,155.2
R03201,ä‚éËåß,ê∑â™és,07åé,22.4,27.1,18.8,0.0,6.0,0.0,22.6,7.4,0.2,0.0,0.0,991.0,1008.8,80,21.6,2.8,0.4,0.0,0.0,130.5,10.8,6.3,197.5,12.6,5.9,2.4,0.7,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.70,141.17,155.2
R03201,ä‚éËåß,ê∑â™és,08åé,23.5,28.4,19.8,0.0,10.3,0.0,24.9,11.3,0.7,0.0,0.1,992.6,1010.3,79,22.9,2.8,0.4,0.0,0.0,145.3,13.3,4.6,185.4,11.2,5.2,1.9,0.8,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.70,141.17,155.2
R03201,ä‚éËåß,ê∑â™és,09åé,19.3,24.3,15.2,0.0,1.6,0.0,12.8,2.1,0.0,0.0,0.1,995.8,1013.9,80,17.9,2.6,1.0,0.1,0.0,128.8,13.2,5.6,151.7,10.9,4.6,1.5,0.5,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.70,141.17,155.2
R03201,ä‚éËåß,ê∑â™és,10åé,12.6,17.9,7.9,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,998.9,1017.5,78,11.5,2.5,0.7,0.1,0.0,141.3,15.2,4.5,108.7,10.5,3.3,0.9,0.2,0.0,0.2,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.70,141.17,155.2
R03201,ä‚éËåß,ê∑â™és,11åé,6.2,10.9,1.8,0.6,0.0,0.0,0.0,0.0,0.0,9.8,0.0,999.4,1018.5,76,7.4,2.6,1.3,0.0,0.0,117.7,14.4,4.1,85.6,11.6,2.7,0.3,0.0,0.0,8.7,6,4,0.4,0.2,0.0,4,0.7,0.3,0.0,0.0,39.70,141.17,155.2
R03201,ä‚éËåß,ê∑â™és,12åé,0.8,4.5,-2.5,12.4,0.0,2.0,0.0,0.0,0.0,25.6,0.0,997.3,1016.7,75,5.0,2.7,1.5,0.0,0.0,103.7,13.7,4.3,70.2,10.4,2.3,0.2,0.1,0.0,24.4,44,15,2.8,1.5,0.3,19,9.1,5.1,1.1,0.3,39.70,141.17,155.2
R03201,ä‚éËåß,ê∑â™és,îN,10.6,15.4,6.3,59.8,18.0,12.4,78.6,22.4,0.9,121.6,0.2,995.3,1014.0,74,11.1,2.9,16.3,0.4,0.0,1686.3,173.7,51.7,1279.9,126.3,39.4,9.4,2.8,0.2,111.0,209,26,14.4,6.2,1.2,36,62.3,46.3,23.1,1.2,39.70,141.17,155.2
R04100,ã{èÈåß,êÂë‰és,01åé,2.0,5.6,-1.3,5.9,0.0,0.4,0.0,0.0,0.0,22.6,0.0,1009.9,1015.5,66,4.7,3.6,6.1,0.7,0.0,149.0,19.8,2.2,42.3,5.6,1.1,0.3,0.1,0.0,20.6,21,10,1.3,0.5,0.2,10,4.1,2.0,0.4,0.0,38.26,140.90,38.9
R04100,ã{èÈåß,êÂë‰és,02åé,2.4,6.5,-1.1,4.3,0.0,0.3,0.0,0.0,0.0,20.1,0.0,1010.4,1015.9,64,4.7,3.7,7.3,0.6,0.0,154.7,19.2,2.1,33.9,5.0,0.9,0.2,0.0,0.0,17.1,18,9,1.3,0.4,0.1,10,2.9,1.2,0.4,0.0,38.26,140.90,38.9
R04100,ã{èÈåß,êÂë‰és,03åé,5.5,10.0,1.4,0.6,0.0,0.0,0.0,0.0,0.0,9.9,0.0,1010.1,1015.5,61,5.6,3.8,8.8,0.7,0.0,178.6,19.6,3.5,74.4,7.1,2.6,0.5,0.1,0.0,11.2,11,6,0.7,0.4,0.1,6,1.2,0.6,0.1,0.0,38.26,140.90,38.9
R04100,ã{èÈåß,êÂë‰és,04åé,10.7,15.5,6.3,0.0,0.0,0.0,0.5,0.0,0.0,0.4,0.0,1008.8,1014.2,63,8.0,3.6,7.3,0.7,0.0,193.7,18.4,3.9,90.2,7.7,3.2,0.6,0.3,0.0,1.7,1,1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.0,38.26,140.90,38.9
R04100,ã{èÈåß,êÂë‰és,05åé,15.6,20.2,11.7,0.0,0.0,0.0,3.6,0.3,0.0,0.0,0.0,1006.9,1012.1,70,12.3,3.2,4.7,0.2,0.0,191.9,16.7,5.3,110.2,8.8,3.3,0.9,0.3,0.1,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,38.26,140.90,38.9
R04100,ã{èÈåß,êÂë‰és,06åé,19.2,23.1,16.1,0.0,0.7,0.0,9.6,0.9,0.0,0.0,0.0,1004.4,1009.6,79,17.4,2.8,1.4,0.0,0.0,143.7,11.9,7.2,143.7,10.3,4.3,1.3,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,38.26,140.90,38.9
R04100,ã{èÈåß,êÂë‰és,07åé,22.9,26.6,20.2,0.0,8.3,0.0,19.6,7.7,0.3,0.0,0.5,1004.0,1009.1,83,22.9,2.5,0.8,0.0,0.0,126.3,10.3,8.1,178.4,13.3,5.3,1.4,0.7,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,38.26,140.90,38.9
R04100,ã{èÈåß,êÂë‰és,08åé,24.4,28.2,21.6,0.0,13.6,0.0,24.5,11.5,0.6,0.0,2.0,1005.5,1010.5,81,24.7,2.6,1.1,0.1,0.0,144.5,13.2,6.2,157.8,10.9,4.7,1.4,0.6,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,38.26,140.90,38.9
R04100,ã{èÈåß,êÂë‰és,09åé,21.2,25.0,18.0,0.0,3.4,0.0,15.1,2.6,0.0,0.0,0.2,1008.7,1013.8,78,19.8,2.9,2.0,0.4,0.1,128.0,13.0,7.0,192.6,11.2,4.6,1.8,1.0,0.2,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,38.26,140.90,38.9
R04100,ã{èÈåß,êÂë‰és,10åé,15.7,19.8,11.9,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,1012.0,1017.2,72,13.0,3.1,2.8,0.3,0.0,147.0,16.4,5.0,150.6,8.2,3.5,1.5,0.9,0.2,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,38.26,140.90,38.9
R04100,ã{èÈåß,êÂë‰és,11åé,9.8,14.1,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1013.0,1018.4,68,8.4,3.2,3.7,0.3,0.0,143.4,17.9,3.6,58.7,5.7,1.7,0.5,0.1,0.0,1.8,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,38.26,140.90,38.9
R04100,ã{èÈåß,êÂë‰és,12åé,4.5,8.3,0.9,1.4,0.0,0.1,0.0,0.0,0.0,11.4,0.0,1011.2,1016.7,68,5.7,3.4,5.9,0.5,0.0,136.3,18.4,2.4,44.1,5.6,1.1,0.3,0.1,0.0,13.3,9,5,0.6,0.2,0.0,6,1.1,0.4,0.0,0.0,38.26,140.90,38.9
R04100,ã{èÈåß,êÂë‰és,îN,12.8,16.9,9.3,12.1,26.0,0.8,74.7,23.0,0.9,65.1,2.7,1008.8,1014.0,71,12.3,3.2,51.9,4.5,0.3,1836.9,194.9,56.5,1276.7,99.4,36.3,10.6,4.8,0.7,65.6,59,15,3.8,1.5,0.4,16,9.4,4.3,0.9,0.0,38.26,140.90,38.9
R05201,èHìcåß,èHìcés,01åé,0.4,3.1,-2.1,12.9,0.0,3.6,0.0,0.0,0.0,25.1,0.0,1013.3,1016.0,74,4.7,5.1,13.8,1.8,0.0,39.0,3.1,6.7,118.9,20.9,3.4,0.1,0.0,0.0,28.7,100,17,7.5,2.8,0.4,30,20.6,15.8,9.3,1.2,39.72,140.10,6.3
R05201,èHìcåß,èHìcés,02åé,0.8,4.0,-2.1,11.0,0.0,2.8,0.0,0.0,0.0,22.6,0.0,1013.7,1016.5,72,4.7,5.0,11.9,1.7,0.2,64.3,5.5,4.4,98.5,17.6,2.8,0.1,0.0,0.0,25.3,79,16,6.3,1.7,0.3,32,20.8,17.7,10.2,1.1,39.72,140.10,6.3
R05201,èHìcåß,èHìcés,03åé,4.0,7.9,0.4,2.3,0.0,0.2,0.0,0.0,0.0,14.3,0.0,1013.1,1015.8,68,5.6,4.9,11.3,1.2,0.1,121.5,11.5,4.1,99.5,14.9,3.3,0.2,0.0,0.0,19.0,30,10,2.0,0.7,0.1,14,4.8,2.4,0.9,0.1,39.72,140.10,6.3
R05201,èHìcåß,èHìcés,04åé,9.6,14.0,5.2,0.0,0.0,0.0,0.3,0.0,0.0,1.4,0.0,1011.5,1014.1,67,8.0,4.6,8.8,0.6,0.0,168.6,15.6,4.4,109.9,11.6,4.2,0.4,0.0,0.0,3.8,1,1,0.1,0.0,0.0,1,0.1,0.0,0.0,0.0,39.72,140.10,6.3
R05201,èHìcåß,èHìcés,05åé,15.2,19.6,11.1,0.0,0.0,0.0,3.8,0.2,0.0,0.0,0.0,1009.2,1011.8,71,12.1,4.1,5.3,0.0,0.0,184.9,16.4,5.0,125.0,11.0,4.3,1.0,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.72,140.10,6.3
R05201,èHìcåß,èHìcés,06åé,19.6,23.7,16.0,0.0,0.5,0.0,10.5,0.9,0.0,0.0,0.0,1006.4,1009.0,74,16.8,3.7,2.6,0.1,0.0,179.5,14.7,4.1,122.9,10.1,3.9,1.1,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.72,140.10,6.3
R05201,èHìcåß,èHìcés,07åé,23.4,27.1,20.4,0.0,8.0,0.0,22.0,5.9,0.4,0.0,0.8,1006.0,1008.5,79,22.7,3.5,2.0,0.1,0.0,150.3,11.8,6.7,197.0,11.6,5.7,2.2,0.8,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.72,140.10,6.3
R05201,èHìcåß,èHìcés,08åé,25.0,29.2,21.6,0.0,16.3,0.0,28.7,12.5,1.0,0.0,2.3,1007.3,1009.8,76,24.0,3.6,2.2,0.2,0.1,186.9,16.6,3.4,184.6,10.4,5.2,2.1,0.9,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.72,140.10,6.3
R05201,èHìcåß,èHìcés,09åé,21.0,25.4,17.1,0.0,3.1,0.0,15.9,2.6,0.1,0.0,0.4,1010.8,1013.3,74,18.6,3.6,3.1,0.6,0.0,160.8,16.2,3.9,161.0,12.1,5.4,1.4,0.4,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.72,140.10,6.3
R05201,èHìcåß,èHìcés,10åé,14.5,19.0,10.4,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1014.5,1017.1,73,12.1,3.9,6.2,0.7,0.0,143.1,15.1,4.1,175.5,14.3,6.1,1.2,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.72,140.10,6.3
R05201,èHìcåß,èHìcés,11åé,8.3,12.2,4.5,0.2,0.0,0.0,0.0,0.0,0.0,1.9,0.0,1015.8,1018.5,73,8.1,4.5,9.0,1.7,0.2,83.2,9.0,5.6,189.1,17.9,7.0,0.9,0.2,0.0,7.7,6,3,0.4,0.2,0.0,3,0.6,0.4,0.1,0.0,39.72,140.10,6.3
R05201,èHìcåß,èHìcés,12åé,2.8,5.9,0.0,4.5,0.0,0.6,0.0,0.0,0.0,15.8,0.0,1014.3,1017.1,74,5.6,5.1,13.3,2.4,0.2,45.3,4.3,7.5,159.8,21.3,5.4,0.3,0.1,0.0,24.8,58,14,4.6,1.5,0.2,19,9.5,5.6,1.8,0.3,39.72,140.10,6.3
R05201,èHìcåß,èHìcés,îN,12.1,15.9,8.5,30.9,27.9,7.2,82.1,22.2,1.6,81.0,3.5,1011.3,1014.0,73,11.9,4.3,89.9,10.9,0.9,1527.4,139.9,59.9,1741.6,173.8,56.8,11.2,3.1,0.2,108.9,273,22,20.9,6.8,0.9,37,56.0,41.6,22.3,2.8,39.72,140.10,6.3
R06201,éRå`åß,éRå`és,01åé,-0.1,3.3,-3.1,15.4,0.0,3.7,0.0,0.0,0.0,27.8,0.0,997.4,1016.7,81,5.0,1.6,0.0,0.0,0.0,79.6,8.7,4.7,87.8,15.7,2.3,0.2,0.0,0.0,28.1,103,21,7.6,3.6,0.8,40,25.0,21.6,14.6,1.8,38.26,140.35,152.5
R06201,éRå`åß,éRå`és,02åé,0.4,4.4,-3.1,12.9,0.0,2.1,0.0,0.0,0.0,25.4,0.0,997.8,1017.1,77,4.8,1.7,0.0,0.0,0.0,99.6,10.7,3.0,63.0,12.2,1.4,0.1,0.0,0.0,23.7,79,18,5.4,2.8,0.4,47,23.7,21.5,16.4,4.0,38.26,140.35,152.5
